,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 - 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 - 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 - 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 - 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 - 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 - 7,0.0,0.0,0.0,64.34,238.25,287.03,264.67,127.32,0.0,0.0,0.0,0.0
7 - 8,0.0,0.0,160.65,320.31,412.78,450.65,470.33,420.94,317.8,184.12,5.78,0.0
8 - 9,255.72,313.41,380.87,439.38,519.08,565.38,609.76,572.97,479.9,395.0,322.95,240.54
9 - 10,437.53,454.99,478.39,508.36,598.03,637.11,690.68,665.65,552.42,493.05,439.58,436.4
10 - 11,536.52,533.43,541.87,554.18,618.29,679.9,746.65,725.85,603.69,567.33,515.57,530.11
11 - 12,585.56,578.68,567.02,599.55,665.44,724.51,792.34,766.95,651.9,592.78,542.84,580.37
12 - 13,604.94,580.34,549.66,604.96,688.92,756.37,818.04,785.54,680.63,570.82,555.1,593.85
13 - 14,575.5,599.44,571.56,614.16,691.85,751.71,824.49,787.33,708.8,592.77,530.07,577.88
14 - 15,561.26,562.8,573.88,602.61,696.7,733.96,815.9,770.68,695.02,568.05,510.62,529.05
15 - 16,520.67,521.31,550.62,594.55,657.88,714.75,786.73,740.24,668.36,526.55,473.14,481.96
16 - 17,463.41,467.97,490.1,543.37,595.72,658.55,727.88,685.18,589.66,432.33,358.62,378.01
17 - 18,153.02,340.02,379.41,433.98,506.74,567.1,634.01,568.88,451.72,246.32,8.86,0.0
18 - 19,0.0,0.0,130.05,271.35,340.71,426.4,483.63,387.35,144.96,0.0,0.0,0.0
19 - 20,0.0,0.0,0.0,0.0,56.63,188.3,213.03,21.42,0.0,0.0,0.0,0.0
20 - 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21 - 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22 - 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23 - 24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0